student_count,course_count,location_count,status,total_time_sec,complete_assignments_tried,valid_schedule_found,total_schedules_generated,conflict_free,student_conflicts,time_slots_used,best_fitness,perfect_fitness,checker_student_conflicts,checker_location_conflicts,notes
640,128,8,timeout,>600,,,,,,,,,,,Process killed after 600s
640,128,16,success,0.10,1,Yes,,True,,,,,No student conflicts found!,No location conflicts found!,
640,128,32,success,0.25,1,Yes,,True,,,,,No student conflicts found!,No location conflicts found!,
640,128,64,success,0.55,1,Yes,,True,,,,,No student conflicts found!,No location conflicts found!,
640,128,128,success,1.15,1,Yes,,True,,,,,No student conflicts found!,No location conflicts found!,
640,128,256,success,2.37,1,Yes,,True,,,,,No student conflicts found!,No location conflicts found!,
640,128,512,success,4.76,1,Yes,,True,,,,,No student conflicts found!,No location conflicts found!,
640,128,1024,success,9.59,1,Yes,,True,,,,,No student conflicts found!,No location conflicts found!,
640,128,2048,success,19.10,1,Yes,,True,,,,,No student conflicts found!,No location conflicts found!,
1280,256,16,timeout,>600,,,,,,,,,,,Process killed after 600s
1280,256,32,timeout,>600,,,,,,,,,,,Process killed after 600s
1280,256,64,timeout,>600,,,,,,,,,,,Process killed after 600s
1280,256,128,timeout,>600,,,,,,,,,,,Process killed after 600s
1280,256,256,timeout,>600,,,,,,,,,,,Process killed after 600s
1280,256,512,timeout,>600,,,,,,,,,,,Process killed after 600s
1280,256,1024,timeout,>600,,,,,,,,,,,Process killed after 600s
1280,256,2048,timeout,>600,,,,,,,,,,,Process killed after 600s
2560,512,32,timeout,>600,,,,,,,,,,,Process killed after 600s
2560,512,64,timeout,>600,,,,,,,,,,,Process killed after 600s
2560,512,128,timeout,>600,,,,,,,,,,,Process killed after 600s
2560,512,256,timeout,>600,,,,,,,,,,,Process killed after 600s
2560,512,512,timeout,>600,,,,,,,,,,,Process killed after 600s
2560,512,1024,timeout,>600,,,,,,,,,,,Process killed after 600s
2560,512,2048,timeout,>600,,,,,,,,,,,Process killed after 600s
5120,1024,64,timeout,>600,,,,,,,,,,,Process killed after 600s
5120,1024,128,timeout,>600,,,,,,,,,,,Process killed after 600s
5120,1024,256,timeout,>600,,,,,,,,,,,Process killed after 600s
5120,1024,512,timeout,>600,,,,,,,,,,,Process killed after 600s
5120,1024,1024,timeout,>600,,,,,,,,,,,Process killed after 600s
5120,1024,2048,timeout,>600,,,,,,,,,,,Process killed after 600s
10240,2048,128,timeout,>600,,,,,,,,,,,Process killed after 600s
10240,2048,256,timeout,>600,,,,,,,,,,,Process killed after 600s
10240,2048,512,timeout,>600,,,,,,,,,,,Process killed after 600s
10240,2048,1024,timeout,>600,,,,,,,,,,,Process killed after 600s
10240,2048,2048,timeout,>600,,,,,,,,,,,Process killed after 600s
20480,4096,256,timeout,>600,,,,,,,,,,,Process killed after 600s
20480,4096,512,timeout,>600,,,,,,,,,,,Process killed after 600s
20480,4096,1024,timeout,>600,,,,,,,,,,,Process killed after 600s
20480,4096,2048,timeout,>600,,,,,,,,,,,Process killed after 600s
40960,8192,512,timeout,>600,,,,,,,,,,,Process killed after 600s
40960,8192,1024,timeout,>600,,,,,,,,,,,Process killed after 600s
40960,8192,2048,timeout,>600,,,,,,,,,,,Process killed after 600s
81920,16384,1024,timeout,>600,,,,,,,,,,,Process killed after 600s
81920,16384,2048,timeout,>600,,,,,,,,,,,Process killed after 600s
123840,32768,2048,skipped,,,,,,,,,,,,Missing data files: Students
