student_count,course_count,location_count,status,total_time_sec,complete_assignments_tried,valid_schedule_found,total_schedules_generated,conflict_free,student_conflicts,time_slots_used,best_fitness,perfect_fitness,checker_student_conflicts,checker_location_conflicts,notes
4,4,4,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,8,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,16,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,32,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,64,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,128,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,256,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,512,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,1024,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
4,4,2048,success,0.0003,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,4,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,8,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,16,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,32,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,64,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,128,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,256,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,512,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,1024,success,0.0002,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
8,4,2048,success,0.0004,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,4,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,8,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,16,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,32,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,64,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,128,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,256,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,512,success,0.0002,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,1024,success,0.0004,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20,4,2048,success,0.0007,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,4,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,8,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,16,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,32,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,64,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,128,success,0.0002,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,256,success,0.0004,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,512,success,0.0008,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,1024,success,0.0016,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40,8,2048,success,0.0033,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,4,success,0.0000,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,8,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,16,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,32,success,0.0002,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,64,success,0.0004,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,128,success,0.0007,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,256,success,0.0014,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,512,success,0.0028,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,1024,success,0.0056,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
80,16,2048,success,0.0111,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,4,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,8,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,16,success,0.0002,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,32,success,0.0004,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,64,success,0.0008,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,128,success,0.0016,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,256,success,0.0032,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,512,success,0.0065,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,1024,success,0.0126,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
160,32,2048,success,0.0248,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,4,success,0.0001,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,8,success,0.0002,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,16,success,0.0004,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,32,success,0.0008,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,64,success,0.0016,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,128,success,0.0032,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,256,success,0.0065,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,512,success,0.0129,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,1024,success,0.0260,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
320,64,2048,success,0.0523,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,8,success,0.0003,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,16,success,0.0008,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,32,success,0.0015,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,64,success,0.0033,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,128,success,0.0062,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,256,success,0.0126,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,512,success,0.0254,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,1024,success,0.0512,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
640,128,2048,success,0.0998,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
1280,256,16,success,0.0012,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
1280,256,32,success,0.0029,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
1280,256,64,success,0.0066,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
1280,256,128,success,0.0141,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
1280,256,256,success,0.0281,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
1280,256,512,success,0.0566,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
1280,256,1024,success,0.1147,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
1280,256,2048,success,0.2264,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
2560,512,32,success,0.0036,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
2560,512,64,success,0.0108,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
2560,512,128,success,0.0252,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
2560,512,256,success,0.0539,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
2560,512,512,success,0.1121,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
2560,512,1024,success,0.2248,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
2560,512,2048,success,0.4518,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
5120,1024,64,success,0.0134,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
5120,1024,128,success,0.0433,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
5120,1024,256,success,0.1010,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
5120,1024,512,success,0.2201,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
5120,1024,1024,success,0.4555,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
5120,1024,2048,success,0.9249,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
10240,2048,128,success,0.0535,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
10240,2048,256,success,0.1751,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
10240,2048,512,success,0.4155,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
10240,2048,1024,success,0.8964,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
10240,2048,2048,success,1.8665,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20480,4096,256,success,0.2069,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20480,4096,512,success,0.6874,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20480,4096,1024,success,1.6405,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
20480,4096,2048,success,3.5466,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40960,8192,512,success,0.8122,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40960,8192,1024,success,2.7510,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
40960,8192,2048,success,6.6046,,,1,True,0,,,,No student conflicts found!,No location conflicts found!,
81920,16384,1024,success,3.1785,,,1,False,1,,,,Total student conflicts found: 1,No location conflicts found!,Greedy could not achieve a conflict-free schedule
81920,16384,2048,success,10.8403,,,1,False,1,,,,Total student conflicts found: 1,No location conflicts found!,Greedy could not achieve a conflict-free schedule
123840,32768,2048,skipped,,,,,,,,,,,,Missing data files: Students
